link,last_seen,joined_date_time,followers,following,competitions,dataset,codes,discussion,basic_info,github,twitter,linkedin,website,author_img
https://www.kaggle.com/rtatman,2 months ago,Tue Jul 11 2017 01:59:20,8829,38,0,107,269,2190,"Seattle, Washington, United States",https://github.com/rctatman,https://twitter.com/rctatman,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/1162990-gr.jpg
https://www.kaggle.com/datasnaek,5 months ago,Mon Aug 28 2017 21:36:16,150,0,3,6,0,46,United Kingdom,https://github.com/mitchelljy,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/1236717-kg.png
https://www.kaggle.com/residentmario,a month ago,Sat Oct 15 2016 23:13:20,1727,30,1,44,230,675,"New York, New York, United States",https://github.com/ResidentMario,https://twitter.com/ResidentMario,https://www.linkedin.com/in/aleksey-bilogur-0956a994,https://www.residentmar.io/,https://storage.googleapis.com/kaggle-avatars/images/753574-kg.png
https://www.kaggle.com/dansbecker,in the past day,Wed Apr 06 2011 23:25:23,8299,14,19,19,190,613,"Golden, Colorado, United States",https://github.com/dansbecker,https://twitter.com/dan_s_becker,http://www.linkedin.com/pub/dan-becker/34/9a8/945,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/9028-fb.jpg
https://www.kaggle.com/jpmiller,in the past day,Sun May 31 2015 18:53:31,1272,244,129,29,44,957,"Fort Worth, Texas, United States",Unavailable,https://twitter.com/johnmillertx,https://www.linkedin.com/in/johnmiller,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/360751-kg.jpg
https://www.kaggle.com/residentmario,a month ago,Sat Oct 15 2016 23:13:20,1727,30,1,44,230,675,"New York, New York, United States",https://github.com/ResidentMario,https://twitter.com/ResidentMario,https://www.linkedin.com/in/aleksey-bilogur-0956a994,https://www.residentmar.io/,https://storage.googleapis.com/kaggle-avatars/images/753574-kg.png
https://www.kaggle.com/nolanbconaway,2 months ago,Mon Oct 31 2016 01:32:27,10,0,1,5,9,6,"New York, New York, United States",https://nolanbconaway.github.io/,https://twitter.com/nolanbconaway,https://www.linkedin.com/in/nolanbconaway/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/772431-kg.jpeg
https://www.kaggle.com/iabhishekofficial,18 days ago,Sat Feb 11 2017 13:12:35,36,24,6,2,1,20,"Sahibzada Ajit Singh Nagar, Punjab, India",https://github.com/iabhishekofficial,https://twitter.com/HeyAbhishek7,https://www.linkedin.com/in/iabhishekofficial/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/907764-kg.jpg
https://www.kaggle.com/kuchhbhi,in the past day,Sat Dec 11 2021 11:46:48,13,20,1,15,29,131,"Gurugram, Haryana, India",https://github.com/withusanty,https://twitter.com/santyaapa,https://www.linkedin.com/in/santy707/,https://isantosh-portfolio.herokuapp.com/,https://storage.googleapis.com/kaggle-avatars/images/9144283-kg.png
https://www.kaggle.com/azminetoushikwasi,in the past day,Mon Apr 12 2021 23:50:34,32,51,3,9,10,176,"Cumilla, Chittagong Division, Bangladesh",https://azminewasi.github.io/,Unavailable,https://www.linkedin.com/in/azmine-toushik-wasi/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/7168168-kg.jpg
https://www.kaggle.com/victorsoeiro,in the past day,Thu Mar 19 2020 07:39:17,10,0,0,18,0,2,"Rio de Janeiro, State of Rio de Janeiro, Brazil",https://github.com/victor-soeiro,Unavailable,https://www.linkedin.com/in/victor-soeiro/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/4697476-kg.png
https://www.kaggle.com/ujjwalchowdhury,in the past day,Sat Aug 14 2021 08:28:09,5,0,3,6,5,41,"Howrah, West Bengal, India",https://github.com/U77w41,https://twitter.com/UjjwalCh0wdhury,https://www.linkedin.com/in/u77w41/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/8130169-kg.jpg
https://www.kaggle.com/deepcontractor,in the past day,Mon Sep 09 2019 11:45:54,79,4,3,26,7,243,"Jaipur, Rajasthan, India",https://github.com/chesterking123,https://twitter.com/deep_contractor,https://www.linkedin.com/in/deep-contractor-85b508168/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/3682357-kg.jpeg
https://www.kaggle.com/jacouchs,7 days ago,Wed Jun 01 2022 23:31:22,0,0,0,1,0,0,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/10709623-kg.png
https://www.kaggle.com/muratkokludataset,in the past day,Mon Mar 28 2022 23:17:24,40,33,0,12,0,1,"Konya, Konya, Turkey",Unavailable,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/10072866-kg.jpg
https://www.kaggle.com/surajjha101,in the past day,Sun Feb 06 2022 12:26:46,182,10,0,10,3,1226,"New Delhi, Delhi, India",Unavailable,https://twitter.com/surajjha10101,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/9590174-kg.jpg
https://www.kaggle.com/weinoose,in the past day,Sat Feb 06 2021 01:12:18,4,2,0,5,4,8,"Antalya, Antalya, Turkey",https://github.com/WEINOOSE,https://twitter.com/WEINOOSE,https://www.linkedin.com/in/emiryarkinyaman/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/6668220-kg.png
https://www.kaggle.com/programmerrdai,in the past day,Sat May 07 2022 10:51:00,17,41,5,34,18,445,"Fugging, Upper Austria, Austria",Unavailable,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/10465213-kg.jpg
https://www.kaggle.com/muratkokludataset,in the past day,Mon Mar 28 2022 23:17:24,40,33,0,12,0,1,"Konya, Konya, Turkey",Unavailable,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/10072866-kg.jpg
https://www.kaggle.com/saddamazyazy,2 days ago,Fri May 22 2020 14:26:36,0,0,1,1,0,1,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/5143340-gr.jpg
https://www.kaggle.com/surajjha101,in the past day,Sun Feb 06 2022 12:26:46,182,10,0,10,3,1226,"New Delhi, Delhi, India",Unavailable,https://twitter.com/surajjha10101,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/9590174-kg.jpg
https://www.kaggle.com/muratkokludataset,in the past day,Mon Mar 28 2022 23:17:24,40,33,0,12,0,1,"Konya, Konya, Turkey",Unavailable,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/10072866-kg.jpg
https://www.kaggle.com/huseyincot,in the past day,Tue Mar 27 2018 16:33:31,16,40,19,4,8,59,"İstanbul, Istanbul, Turkey",https://github.com/hcotel,Unavailable,https://www.linkedin.com/in/huseyincotel,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/1763348-kg.jpg
https://www.kaggle.com/emmanuelfwerr,in the past day,Tue Jan 19 2021 06:30:40,8,20,0,5,1,2,"Barcelona, Catalonia, Spain",https://github.com/emmanuelfwerr,Unavailable,https://www.linkedin.com/in/emmanuelfwerr/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/6549244-kg.jpeg
https://www.kaggle.com/jessicali9530,in the past day,Fri Mar 30 2018 03:53:25,1097,17,0,29,21,262,"New York, New York, United States",https://github.com/jessicali9530,https://twitter.com/jessicali9530,https://www.linkedin.com/in/jessicali9530/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/1772071-gr.jpg
https://www.kaggle.com/ranugadisansagamage,in the past day,Thu May 28 2020 09:23:27,13,40,6,36,0,164,"Fugging, Upper Austria, Austria",Unavailable,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/5181162-kg.jpg
https://www.kaggle.com/dhanushnarayananr,2 days ago,Sun Nov 07 2021 21:07:02,1,2,0,1,2,12,"Chennai, Tamil Nadu, India",https://github.com/DhanushNarayanan7,https://twitter.com/DhanushDanDk7,https://www.linkedin.com/in/dhanushnarayananr/,https://dandk7sciencefacts.blogspot.com,https://storage.googleapis.com/kaggle-avatars/images/8815565-kg.jpg
https://www.kaggle.com/dsfelix,in the past day,Tue Oct 05 2021 04:19:45,2,4,0,5,7,4,"Mirandópolis, State of São Paulo, Brazil",https://csfelix.github.io/,Unavailable,https://www.linkedin.com/in/csfelix/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/8512481-kg.jpg
https://www.kaggle.com/psycon,in the past day,Mon Apr 20 2020 20:26:12,26,15,6,20,14,11,"İstanbul, İstanbul, Turkey",https://github.com/batucansenkal,Unavailable,https://www.linkedin.com/in/batucans/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/4920916-kg.jpg
